2022-06-12 12:31:21,945 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (1000 != 2)!
2022-06-12 12:31:21,947 (ERROR)	||| Extracting diferent quantity of columns from Alpha Vantage API than expected (11 != 1)!
2022-06-12 12:31:42,168 (INFO)	||| Initing extract of ETL to obtain RBY historical data in USD value!
2022-06-12 12:32:03,000 (INFO)	||| Initing extract of ETL to obtain RBY historical data in BRL value!
2022-06-12 12:32:04,318 (INFO)	||| Initing extract of ETL to obtain RBY historical data in BRL value!
2022-06-12 12:33:16,103 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 12:33:17,255 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 12:33:17,257 (INFO)	||| ETL finished!
2022-06-12 12:33:17,258 (INFO)	||| test finished!
2022-06-12 12:33:17,258 (INFO)	||| Initing extract of ETL to obtain ETH historical data in USD value!
2022-06-12 12:33:18,465 (INFO)	||| Initing data transform of ETH historical data!
2022-06-12 12:33:18,472 (INFO)	||| ETL finished!
2022-06-12 12:33:18,475 (INFO)	||| test finished!
2022-06-12 12:33:18,478 (INFO)	||| Initing extract of ETL to obtain AAVE historical data in USD value!
2022-06-12 12:33:19,578 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (1000 != 606)!
2022-06-12 12:33:19,581 (INFO)	||| Initing data transform of AAVE historical data!
2022-06-12 12:33:19,589 (INFO)	||| ETL finished!
2022-06-12 12:33:19,592 (INFO)	||| test finished!
2022-06-12 12:33:19,597 (INFO)	||| Initing extract of ETL to obtain BCH historical data in USD value!
2022-06-12 12:33:20,578 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (1000 != 928)!
2022-06-12 12:33:20,578 (INFO)	||| Initing data transform of BCH historical data!
2022-06-12 12:33:20,581 (INFO)	||| ETL finished!
2022-06-12 12:33:20,581 (INFO)	||| test finished!
2022-06-12 12:33:20,582 (INFO)	||| Initing extract of ETL to obtain BUSD historical data in USD value!
2022-06-12 12:33:21,133 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (1000 != 997)!
2022-06-12 12:33:21,135 (INFO)	||| Initing data transform of BUSD historical data!
2022-06-12 12:33:21,138 (INFO)	||| ETL finished!
2022-06-12 12:33:21,139 (INFO)	||| test finished!
2022-06-12 12:33:21,140 (INFO)	||| Initing extract of ETL to obtain ADA historical data in USD value!
2022-06-12 12:33:21,357 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (1000 != 2)!
2022-06-12 12:33:21,359 (ERROR)	||| Extracting diferent quantity of columns from Alpha Vantage API than expected (11 != 1)!
2022-06-12 12:33:21,364 (ERROR)	||| Generic error in ETL's test, check the code!
2022-06-12 12:33:40,366 (INFO)	||| Initing extract of ETL to obtain ADA historical data in BRL value!
2022-06-12 20:23:01,577 (INFO)	||| Initing extract of ETL to obtain BTC historical data in BRL value!
2022-06-12 20:23:03,346 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 20:23:03,350 (INFO)	||| ETL finished!
2022-06-12 20:23:03,351 (INFO)	||| test finished!
2022-06-12 20:23:03,351 (INFO)	||| Initing extract of ETL to obtain ETH historical data in BRL value!
2022-06-12 20:23:04,658 (INFO)	||| Initing data transform of ETH historical data!
2022-06-12 20:23:04,660 (INFO)	||| ETL finished!
2022-06-12 20:23:04,662 (INFO)	||| test finished!
2022-06-12 20:23:04,662 (INFO)	||| Initing extract of ETL to obtain ADA historical data in BRL value!
2022-06-12 20:23:05,877 (INFO)	||| Initing data transform of ADA historical data!
2022-06-12 20:23:05,884 (INFO)	||| ETL finished!
2022-06-12 20:23:05,887 (INFO)	||| test finished!
2022-06-12 20:23:05,890 (INFO)	||| Initing extract of ETL to obtain DOGE historical data in BRL value!
2022-06-12 20:23:06,875 (INFO)	||| Initing data transform of DOGE historical data!
2022-06-12 20:23:06,882 (INFO)	||| ETL finished!
2022-06-12 20:23:06,886 (INFO)	||| test finished!
2022-06-12 20:23:06,888 (INFO)	||| Initing extract of ETL to obtain XRP historical data in BRL value!
2022-06-12 20:23:07,838 (INFO)	||| Initing data transform of XRP historical data!
2022-06-12 20:23:07,841 (INFO)	||| ETL finished!
2022-06-12 20:23:07,843 (INFO)	||| test finished!
2022-06-12 20:24:21,371 (INFO)	||| Initing extract of ETL to obtain RBY historical data in USD value!
2022-06-12 20:24:22,072 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (1000 != 2)!
2022-06-12 20:24:22,073 (ERROR)	||| Extracting diferent quantity of columns from Alpha Vantage API than expected (11 != 1)!
2022-06-12 20:24:22,074 (ERROR)	||| Generic error in ETL's test, check the code!
2022-06-12 20:25:04,174 (INFO)	||| Initing extract of ETL to obtain RBY historical data in USD value!
2022-06-12 20:25:04,897 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (1000 != 2)!
2022-06-12 20:25:04,898 (ERROR)	||| Extracting diferent quantity of columns from Alpha Vantage API than expected (11 != 1)!
2022-06-12 20:25:04,899 (ERROR)	||| Generic error in ETL's test, check the code!
2022-06-12 20:25:59,367 (INFO)	||| Initing extract of ETL to obtain RBY historical data in USD value!
2022-06-12 20:26:53,353 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 20:26:54,156 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 20:26:54,160 (INFO)	||| ETL finished!
2022-06-12 20:26:54,161 (INFO)	||| test finished!
2022-06-12 20:26:54,162 (INFO)	||| Initing extract of ETL to obtain BTC historical data in BRL value!
2022-06-12 20:26:54,929 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 20:26:54,932 (INFO)	||| ETL finished!
2022-06-12 20:26:54,933 (INFO)	||| test finished!
2022-06-12 20:26:54,933 (INFO)	||| Initing extract of ETL to obtain BTC historical data in CNY value!
2022-06-12 20:26:55,522 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 20:26:55,524 (INFO)	||| ETL finished!
2022-06-12 20:26:55,525 (INFO)	||| test finished!
2022-06-12 20:26:55,527 (INFO)	||| Initing extract of ETL to obtain BTC historical data in EUR value!
